path	orig_w	orig_h	new_w	new_h	scale
subscription-day/cover.webp	1200	630	1200	630	1.0000
uninstally/icon.webp	1024	1024	1024	1024	1.0000
uninstally/cover.webp	1536	1024	1536	1024	1.0000
room-service/icon.webp	1024	1024	1024	1024	1.0000
room-service/cover.webp	3894	2352	1600	966	0.4108
walltune/icon.webp	512	512	512	512	1.0000
walltune/cover.webp	1440	900	1440	900	1.0000
foldervitrine/cover.webp	1286	804	1286	804	1.0000
foldervitrine/icon.webp	1200	630	1200	630	1.0000
hora-calendar/shot-3.webp	2880	1800	1600	1000	0.5555
hora-calendar/icon.webp	512	512	512	512	1.0000
hora-calendar/shot-2.webp	2880	1800	1600	1000	0.5555
hora-calendar/shot-5.webp	2880	1800	1600	1000	0.5555
hora-calendar/shot-4.webp	2880	1800	1600	1000	0.5555
hora-calendar/shot-6.webp	2880	1800	1600	1000	0.5555
hora-calendar/cover.webp	1200	630	1200	630	1.0000
hora-calendar/shot-1.webp	2880	1800	1600	1000	0.5555
unfumble/icon.webp	512	512	512	512	1.0000
unfumble/cover.webp	1200	630	1200	630	1.0000
compressor/icon.webp	598	598	598	598	1.0000
compressor/cover.webp	1734	907	1600	837	0.9227
deskminder/icon.webp	420	420	420	420	1.0000
deskminder/cover.webp	1200	630	1200	630	1.0000
screen-studio/icon.webp	102	102	102	102	1.0000
screen-studio/cover.webp	1200	627	1200	627	1.0000
codex/icon.webp	204	204	204	204	1.0000
codex/cover.webp	1600	900	1600	900	1.0000
audio-notes-formerly-email-me/icon.webp	512	512	512	512	1.0000
audio-notes-formerly-email-me/cover.webp	2114	1176	1600	890	0.7568
zipic/icon.webp	512	512	512	512	1.0000
zipic/cover.webp	2400	1260	1600	840	0.6666
screenlex/cover.webp	1200	630	1200	630	1.0000
lookaway/icon.webp	256	256	256	256	1.0000
lookaway/cover.webp	2400	1260	1600	840	0.6666
wallspace/icon.webp	512	512	512	512	1.0000
wallspace/cover.webp	1440	900	1440	900	1.0000
keeby/icon.webp	312	312	312	312	1.0000
keeby/cover.webp	1200	630	1200	630	1.0000
tellie/icon.webp	512	512	512	512	1.0000
tellie/cover.webp	1200	630	1200	630	1.0000
dynamiclake/icon.webp	204	204	204	204	1.0000
dynamiclake/cover.webp	1830	1030	1600	901	0.8743
viaduct/icon.webp	256	256	256	256	1.0000
viaduct/cover.webp	1200	630	1200	630	1.0000
usage/icon.webp	400	400	400	400	1.0000
usage/cover.webp	1284	624	1284	624	1.0000
notion-calendar/icon.webp	204	204	204	204	1.0000
notion-calendar/cover.webp	1200	630	1200	630	1.0000
caesura/icon.webp	512	512	512	512	1.0000
caesura/cover.webp	1200	630	1200	630	1.0000
purge/icon.webp	240	240	240	240	1.0000
purge/shot-2.webp	1280	720	1280	720	1.0000
purge/shot-1.webp	1280	720	1280	720	1.0000
purge/cover.webp	1280	720	1280	720	1.0000
slapmac/icon.webp	204	204	204	204	1.0000
slapmac/cover.webp	1376	768	1376	768	1.0000
mjsfx/icon.webp	600	600	600	600	1.0000
mjsfx/shot-3.webp	2880	1800	1600	1000	0.5555
mjsfx/shot-2.webp	2880	1800	1600	1000	0.5555
mjsfx/shot-1.webp	2880	1800	1600	1000	0.5555
mjsfx/shot-5.webp	2880	1800	1600	1000	0.5555
mjsfx/shot-4.webp	2880	1800	1600	1000	0.5555
mjsfx/shot-6.webp	2880	1800	1600	1000	0.5555
mjsfx/cover.webp	1200	630	1200	630	1.0000
ajar/icon.webp	256	256	256	256	1.0000
ajar/cover.webp	2400	1260	1600	840	0.6666
framer/icon.webp	102	102	102	102	1.0000
framer/cover.webp	2400	1260	1600	840	0.6666
hejour/icon.webp	1221	1107	1221	1107	1.0000
